Time,NOx(GT),CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-10-05 22:00:00,106.0,1.7,1025.0,-200.0,9.6,963.0,842.0,95.0,1621.0,917.0,15.8,56.2,1.0033
2004-10-05 23:00:00,88.0,1.1,953.0,-200.0,6.4,830.0,986.0,86.0,1521.0,860.0,16.0,56.5,1.0166
2004-10-06 00:00:00,48.0,1.0,938.0,-200.0,7.6,881.0,956.0,61.0,1607.0,662.0,24.1,43.3,1.2839
2004-10-06 01:00:00,27.0,0.7,878.0,-200.0,5.2,774.0,1065.0,42.0,1527.0,552.0,23.9,45.6,1.3328
2004-10-06 02:00:00,48.0,1.0,919.0,-200.0,5.9,807.0,967.0,66.0,1598.0,775.0,22.0,52.8,1.3752
2004-10-06 03:00:00,-200.0,0.6,836.0,-200.0,4.0,709.0,1085.0,-200.0,1498.0,646.0,20.7,56.1,1.3565
2004-10-06 04:00:00,33.0,-200.0,814.0,-200.0,3.3,673.0,1138.0,50.0,1488.0,647.0,20.1,57.3,1.3352
2004-10-06 05:00:00,75.0,0.9,872.0,-200.0,5.4,782.0,1001.0,76.0,1607.0,874.0,19.5,59.4,1.3328
2004-10-06 06:00:00,101.0,1.2,949.0,-200.0,8.7,929.0,887.0,78.0,1711.0,973.0,20.0,56.6,1.3095
2004-10-06 07:00:00,214.0,2.9,1227.0,-200.0,19.9,1292.0,661.0,104.0,2087.0,1327.0,21.7,53.9,1.3848
2004-10-06 08:00:00,290.0,4.8,1360.0,-200.0,30.4,1561.0,545.0,139.0,2525.0,1626.0,23.7,49.0,1.4152
2004-10-06 09:00:00,311.0,4.3,1318.0,-200.0,24.6,1420.0,586.0,166.0,2316.0,1640.0,25.9,44.3,1.4544
2004-10-06 10:00:00,234.0,3.1,1196.0,-200.0,16.9,1208.0,705.0,151.0,1981.0,1341.0,30.1,34.3,1.4414
2004-10-06 11:00:00,157.0,2.4,1152.0,-200.0,13.6,1102.0,770.0,134.0,1868.0,1113.0,33.5,27.2,1.3859
2004-10-06 12:00:00,165.0,2.8,1220.0,-200.0,15.3,1157.0,715.0,148.0,1935.0,1224.0,35.4,26.1,1.4806
2004-10-06 13:00:00,137.0,2.5,1182.0,-200.0,14.1,1120.0,735.0,126.0,1893.0,1095.0,37.9,23.2,1.5019999999999998
2004-10-06 14:00:00,149.0,2.6,1167.0,-200.0,17.0,1210.0,719.0,144.0,1944.0,1152.0,39.7,18.7,1.3306
2004-10-06 15:00:00,140.0,2.3,1142.0,-200.0,13.8,1109.0,782.0,133.0,1789.0,1047.0,40.4,17.2,1.2774
2004-10-06 16:00:00,139.0,2.4,1157.0,-200.0,13.6,1105.0,779.0,139.0,1792.0,982.0,40.0,18.8,1.3630000000000002
2004-10-06 17:00:00,221.0,3.5,1274.0,-200.0,21.2,1329.0,670.0,178.0,2054.0,1320.0,38.9,18.8,1.29
2004-10-06 18:00:00,318.0,4.8,1372.0,-200.0,25.9,1451.0,631.0,206.0,2183.0,1541.0,35.8,22.1,1.2792
2004-10-06 19:00:00,363.0,5.1,1373.0,-200.0,25.4,1440.0,635.0,211.0,2183.0,1510.0,33.1,25.9,1.2923
2004-10-06 20:00:00,341.0,4.7,1290.0,-200.0,23.6,1393.0,655.0,180.0,2146.0,1511.0,30.9,28.2,1.2388
2004-10-06 21:00:00,163.0,2.4,1056.0,-200.0,12.0,1051.0,826.0,116.0,1758.0,1078.0,27.5,32.6,1.176
2004-10-06 22:00:00,157.0,2.5,1116.0,-200.0,14.2,1123.0,768.0,118.0,1826.0,1235.0,26.3,34.3,1.1605
2004-10-06 23:00:00,202.0,2.7,1106.0,-200.0,14.2,1122.0,783.0,115.0,1813.0,1202.0,25.5,34.1,1.0968
2004-10-07 00:00:00,161.0,2.3,1118.0,-200.0,13.0,1082.0,694.0,127.0,1792.0,1080.0,22.7,47.7,1.2977
2004-10-07 01:00:00,91.0,1.5,1016.0,-200.0,9.6,963.0,776.0,95.0,1661.0,811.0,22.2,49.5,1.3081
2004-10-07 02:00:00,57.0,1.0,940.0,-200.0,6.7,845.0,845.0,70.0,1539.0,704.0,21.6,51.9,1.3254
2004-10-07 03:00:00,-200.0,0.5,836.0,-200.0,2.9,643.0,1114.0,-200.0,1405.0,522.0,22.3,50.4,1.3379
2004-10-07 04:00:00,22.0,0.3,831.0,-200.0,2.6,626.0,1126.0,33.0,1406.0,484.0,22.4,49.7,1.3333
2004-10-07 05:00:00,41.0,0.4,877.0,-200.0,4.0,711.0,1018.0,45.0,1475.0,580.0,21.7,52.0,1.3313
2004-10-07 06:00:00,53.0,0.5,872.0,-200.0,4.3,725.0,976.0,56.0,1471.0,668.0,21.1,53.2,1.3181
2004-10-07 07:00:00,92.0,0.9,958.0,-200.0,5.9,805.0,886.0,74.0,1551.0,835.0,22.0,51.0,1.3296
2004-10-07 08:00:00,91.0,1.1,959.0,-200.0,6.8,848.0,859.0,84.0,1572.0,739.0,25.0,41.6,1.301
2004-10-07 09:00:00,89.0,1.4,997.0,-200.0,8.8,933.0,799.0,93.0,1612.0,763.0,26.7,36.4,1.2596
2004-10-07 10:00:00,81.0,1.1,916.0,-200.0,6.7,843.0,891.0,97.0,1511.0,614.0,29.1,29.7,1.1751
2004-10-07 11:00:00,66.0,0.9,895.0,-200.0,6.4,831.0,946.0,83.0,1473.0,566.0,31.2,23.4,1.0487
2004-10-07 12:00:00,53.0,0.8,855.0,-200.0,6.0,812.0,982.0,71.0,1416.0,508.0,32.4,20.5,0.9806
2004-10-07 13:00:00,61.0,0.8,861.0,-200.0,6.0,811.0,997.0,78.0,1409.0,509.0,33.3,19.2,0.9634
2004-10-07 14:00:00,48.0,0.6,821.0,-200.0,5.0,766.0,1071.0,62.0,1323.0,457.0,33.1,16.8,0.8391
2004-10-07 15:00:00,39.0,0.6,835.0,-200.0,4.4,731.0,1108.0,54.0,1323.0,438.0,33.1,18.3,0.9081
2004-10-07 16:00:00,41.0,0.5,813.0,-200.0,4.4,732.0,1118.0,59.0,1303.0,427.0,32.4,18.0,0.8599
2004-10-07 17:00:00,48.0,0.7,833.0,-200.0,5.5,786.0,1064.0,69.0,1328.0,453.0,31.8,18.7,0.8624
2004-10-07 18:00:00,50.0,0.8,859.0,-200.0,5.8,803.0,1032.0,67.0,1363.0,479.0,30.3,21.4,0.9064
2004-10-07 19:00:00,51.0,0.9,887.0,-200.0,5.3,778.0,978.0,58.0,1387.0,500.0,27.2,28.2,1.0013
2004-10-07 20:00:00,70.0,1.3,970.0,-200.0,8.0,900.0,856.0,77.0,1559.0,647.0,26.1,33.7,1.1228
2004-10-07 21:00:00,89.0,1.3,990.0,-200.0,7.2,866.0,866.0,94.0,1551.0,728.0,24.7,38.8,1.1929
2004-10-07 22:00:00,100.0,1.4,1022.0,-200.0,8.0,899.0,846.0,97.0,1588.0,820.0,23.4,43.2,1.229
2004-10-07 23:00:00,139.0,1.9,1075.0,-200.0,10.4,993.0,781.0,110.0,1682.0,946.0,23.1,44.2,1.2317
2004-10-08 00:00:00,33.0,1.0,1035.0,-200.0,7.0,859.0,732.0,49.0,1680.0,996.0,27.4,55.0,1.9827
2004-10-08 01:00:00,17.0,0.7,942.0,-200.0,4.9,758.0,824.0,29.0,1567.0,856.0,28.1,51.6,1.9269
2004-10-08 02:00:00,6.0,0.5,902.0,-200.0,3.5,680.0,919.0,11.0,1535.0,722.0,26.3,56.5,1.9027
2004-10-08 03:00:00,-200.0,0.5,919.0,-200.0,3.9,704.0,861.0,-200.0,1603.0,860.0,24.4,65.0,1.9612
2004-10-08 04:00:00,20.0,0.5,875.0,-200.0,3.2,665.0,919.0,25.0,1559.0,772.0,24.4,63.6,1.9218
2004-10-08 05:00:00,58.0,0.7,927.0,-200.0,4.7,747.0,830.0,34.0,1633.0,910.0,23.5,67.4,1.9305
2004-10-08 06:00:00,106.0,1.2,1032.0,-200.0,7.6,883.0,718.0,42.0,1742.0,1051.0,23.4,65.7,1.8719999999999999
2004-10-08 07:00:00,143.0,2.2,1193.0,-200.0,14.7,1139.0,563.0,47.0,2009.0,1257.0,24.5,61.3,1.8522
2004-10-08 08:00:00,167.0,2.9,1268.0,-200.0,18.7,1259.0,519.0,62.0,2114.0,1410.0,26.0,55.8,1.8536
2004-10-08 09:00:00,188.0,2.6,1238.0,-200.0,14.8,1144.0,565.0,81.0,1939.0,1433.0,28.5,48.5,1.8607
2004-10-08 10:00:00,164.0,2.6,1230.0,-200.0,14.5,1133.0,604.0,90.0,1909.0,1413.0,33.6,35.7,1.8229
2004-10-08 11:00:00,128.0,2.2,1161.0,-200.0,12.7,1074.0,646.0,95.0,1777.0,1206.0,36.5,28.9,1.7359
2004-10-08 12:00:00,88.0,1.5,1048.0,-200.0,9.2,949.0,764.0,86.0,1607.0,831.0,39.0,23.7,1.6346
2004-10-08 13:00:00,51.0,0.9,929.0,-200.0,4.8,752.0,955.0,64.0,1385.0,544.0,38.8,23.7,1.6093
2004-10-08 14:00:00,52.0,1.0,950.0,-200.0,5.4,783.0,914.0,62.0,1443.0,525.0,38.0,24.0,1.5686
2004-10-08 15:00:00,59.0,1.1,1013.0,-200.0,7.2,864.0,819.0,75.0,1544.0,644.0,40.5,23.3,1.7416
2004-10-08 16:00:00,67.0,1.2,1034.0,-200.0,6.7,845.0,841.0,88.0,1566.0,702.0,39.8,25.4,1.8213
2004-10-08 17:00:00,105.0,1.8,1082.0,-200.0,9.7,965.0,760.0,126.0,1649.0,844.0,39.6,23.3,1.6535
2004-10-08 18:00:00,91.0,1.8,1110.0,-200.0,10.9,1012.0,720.0,96.0,1725.0,905.0,38.8,24.7,1.6772
2004-10-08 19:00:00,69.0,1.7,1118.0,-200.0,10.6,999.0,706.0,79.0,1766.0,878.0,34.7,35.9,1.9528
2004-10-08 20:00:00,65.0,1.7,1136.0,-200.0,9.7,967.0,703.0,67.0,1801.0,927.0,32.3,43.6,2.07
2004-10-08 21:00:00,58.0,1.6,1106.0,-200.0,8.6,924.0,725.0,62.0,1757.0,910.0,30.7,48.1,2.0821
2004-10-08 22:00:00,67.0,1.7,1151.0,-200.0,10.2,984.0,678.0,64.0,1823.0,1024.0,29.5,50.6,2.0492
2004-10-08 23:00:00,64.0,1.8,1144.0,-200.0,10.5,997.0,669.0,63.0,1816.0,1021.0,28.8,52.0,2.0297
2004-10-09 00:00:00,147.0,1.2,1031.0,-200.0,7.3,871.0,950.0,96.0,1393.0,972.0,25.2,38.1,1.2049
2004-10-09 01:00:00,101.0,1.0,969.0,-200.0,5.5,787.0,1035.0,75.0,1350.0,799.0,24.4,39.1,1.1784
2004-10-09 02:00:00,69.0,0.5,881.0,-200.0,3.5,680.0,1175.0,58.0,1251.0,630.0,23.7,39.1,1.1289
2004-10-09 03:00:00,-200.0,0.5,869.0,-200.0,2.8,638.0,1219.0,-200.0,1213.0,586.0,24.2,38.5,1.1491
2004-10-09 04:00:00,49.0,0.4,866.0,-200.0,2.9,644.0,1162.0,41.0,1218.0,629.0,24.5,38.5,1.1688
2004-10-09 05:00:00,91.0,0.5,895.0,-200.0,3.6,689.0,1134.0,55.0,1250.0,709.0,22.4,43.5,1.1624
2004-10-09 06:00:00,144.0,0.7,933.0,-200.0,5.5,786.0,1018.0,73.0,1306.0,858.0,22.3,43.8,1.1631
2004-10-09 07:00:00,430.0,2.4,1209.0,-200.0,15.5,1163.0,762.0,108.0,1606.0,1300.0,21.4,45.8,1.1515
2004-10-09 08:00:00,606.0,4.1,1417.0,-200.0,28.3,1511.0,587.0,147.0,1975.0,1676.0,22.9,41.3,1.1383
2004-10-09 09:00:00,519.0,3.0,1227.0,-200.0,17.8,1233.0,739.0,150.0,1594.0,1384.0,26.6,30.3,1.0378
2004-10-09 10:00:00,353.0,2.0,1093.0,-200.0,12.8,1076.0,871.0,131.0,1457.0,1125.0,30.3,23.0,0.977
2004-10-09 11:00:00,429.0,2.5,1135.0,-200.0,15.7,1170.0,867.0,144.0,1523.0,1189.0,32.8,18.9,0.9234
2004-10-09 12:00:00,345.0,2.4,1112.0,-200.0,15.4,1161.0,866.0,151.0,1499.0,1088.0,34.3,17.7,0.9416
2004-10-09 13:00:00,417.0,2.6,1147.0,-200.0,15.6,1168.0,858.0,165.0,1492.0,1118.0,33.3,18.9,0.9536
2004-10-09 14:00:00,276.0,1.9,1086.0,-200.0,12.6,1070.0,907.0,135.0,1423.0,924.0,33.0,20.1,0.9959
2004-10-09 15:00:00,280.0,2.1,1077.0,-200.0,12.2,1056.0,908.0,143.0,1406.0,935.0,33.6,19.6,1.0029
2004-10-09 16:00:00,365.0,2.5,1110.0,-200.0,13.4,1098.0,882.0,153.0,1450.0,1009.0,34.9,18.4,1.0106
2004-10-09 17:00:00,363.0,2.7,1146.0,-200.0,14.3,1125.0,846.0,149.0,1511.0,1016.0,33.4,20.3,1.0270000000000001
2004-10-09 18:00:00,393.0,3.3,1211.0,-200.0,16.5,1194.0,797.0,164.0,1599.0,1188.0,31.6,22.7,1.041
2004-10-09 19:00:00,385.0,3.2,1218.0,-200.0,17.4,1221.0,755.0,180.0,1599.0,1290.0,29.2,26.9,1.0709
2004-10-09 20:00:00,307.0,2.6,1136.0,-200.0,12.9,1082.0,824.0,159.0,1478.0,1130.0,27.7,30.1,1.0991
2004-10-09 21:00:00,194.0,1.4,1017.0,-200.0,8.2,908.0,932.0,119.0,1354.0,880.0,27.1,31.0,1.0991
2004-10-09 22:00:00,205.0,1.6,1063.0,-200.0,9.2,946.0,886.0,127.0,1391.0,996.0,26.0,33.4,1.1071
2004-10-09 23:00:00,223.0,1.7,1083.0,-200.0,9.3,951.0,880.0,131.0,1393.0,1054.0,25.1,35.7,1.1222
2004-10-10 00:00:00,409.0,3.7,1520.0,-200.0,17.2,1217.0,552.0,103.0,1812.0,1357.0,24.7,56.9,1.7438
2004-10-10 01:00:00,223.0,2.0,1203.0,-200.0,11.9,1046.0,621.0,74.0,1664.0,1103.0,23.9,59.2,1.7327
2004-10-10 02:00:00,107.0,1.4,1096.0,-200.0,8.1,903.0,732.0,52.0,1560.0,857.0,23.8,60.2,1.7515
2004-10-10 03:00:00,-200.0,1.1,991.0,-200.0,4.9,759.0,845.0,-200.0,1440.0,658.0,23.5,61.3,1.7538
2004-10-10 04:00:00,50.0,-200.0,941.0,-200.0,3.6,686.0,942.0,38.0,1406.0,549.0,22.8,64.0,1.7507
2004-10-10 05:00:00,56.0,0.7,952.0,-200.0,3.7,695.0,910.0,39.0,1429.0,627.0,22.2,65.6,1.7355
2004-10-10 06:00:00,163.0,1.2,1082.0,-200.0,6.3,825.0,753.0,59.0,1526.0,930.0,21.3,69.1,1.7275
2004-10-10 07:00:00,187.0,1.3,1095.0,-200.0,7.7,886.0,705.0,56.0,1574.0,1001.0,21.3,68.2,1.7127
2004-10-10 08:00:00,150.0,1.1,1049.0,-200.0,6.3,826.0,765.0,51.0,1521.0,917.0,22.2,65.2,1.7256
2004-10-10 09:00:00,103.0,1.0,1055.0,-200.0,5.6,795.0,807.0,51.0,1494.0,834.0,24.1,59.0,1.7449
2004-10-10 10:00:00,143.0,1.2,1074.0,-200.0,5.1,767.0,814.0,58.0,1489.0,796.0,24.3,61.6,1.8468
2004-10-10 11:00:00,220.0,1.9,1229.0,-200.0,9.0,941.0,680.0,68.0,1653.0,1040.0,24.8,59.6,1.8351
2004-10-10 12:00:00,301.0,2.3,1228.0,-200.0,9.3,952.0,668.0,81.0,1622.0,1110.0,24.5,58.8,1.7838
2004-10-10 13:00:00,214.0,1.6,1107.0,-200.0,5.9,807.0,768.0,73.0,1546.0,836.0,21.0,76.8,1.8881
2004-10-10 14:00:00,162.0,1.3,1031.0,-200.0,4.4,732.0,872.0,69.0,1476.0,704.0,19.8,78.0,1.7879
2004-10-10 15:00:00,232.0,1.8,1155.0,-200.0,5.8,804.0,815.0,81.0,1510.0,773.0,19.4,80.5,1.7917
2004-10-10 16:00:00,254.0,1.7,1131.0,-200.0,6.6,841.0,784.0,82.0,1531.0,811.0,19.6,79.1,1.7877
2004-10-10 17:00:00,224.0,1.8,1143.0,-200.0,7.8,890.0,744.0,71.0,1578.0,848.0,20.8,73.1,1.7695
2004-10-10 18:00:00,247.0,2.0,1145.0,-200.0,8.4,915.0,733.0,81.0,1586.0,892.0,21.1,68.6,1.7014
2004-10-10 19:00:00,334.0,2.2,1169.0,-200.0,8.3,910.0,726.0,87.0,1563.0,992.0,21.1,68.3,1.6914
2004-10-10 20:00:00,239.0,1.6,1105.0,-200.0,8.1,905.0,734.0,72.0,1576.0,950.0,21.2,67.7,1.6848
2004-10-10 21:00:00,168.0,1.3,1049.0,-200.0,6.1,817.0,806.0,63.0,1517.0,882.0,20.8,68.6,1.6719
2004-10-10 22:00:00,185.0,1.5,1069.0,-200.0,6.7,844.0,767.0,63.0,1527.0,883.0,20.8,68.1,1.6585
2004-10-10 23:00:00,178.0,1.5,1073.0,-200.0,6.6,838.0,768.0,63.0,1549.0,892.0,20.7,68.4,1.6507
2004-10-11 00:00:00,-200.0,0.8,831.0,-200.0,2.5,620.0,1164.0,-200.0,1039.0,545.0,6.5,83.5,0.8116
2004-10-11 01:00:00,-200.0,0.7,843.0,-200.0,2.5,622.0,1146.0,-200.0,1060.0,555.0,6.9,82.3,0.8244
2004-10-11 02:00:00,-200.0,0.6,798.0,-200.0,2.2,600.0,1151.0,-200.0,1049.0,543.0,7.3,78.1,0.8041
2004-10-11 03:00:00,-200.0,0.3,730.0,-200.0,0.8,477.0,1433.0,-200.0,950.0,420.0,7.9,68.0,0.7265
2004-10-11 04:00:00,32.0,0.2,715.0,-200.0,0.5,445.0,1601.0,29.0,925.0,373.0,8.0,64.5,0.695
2004-10-11 05:00:00,29.0,0.2,726.0,-200.0,0.5,443.0,1663.0,26.0,942.0,363.0,8.1,68.6,0.7409
2004-10-11 06:00:00,48.0,0.3,771.0,-200.0,0.9,490.0,1419.0,39.0,990.0,411.0,6.3,84.8,0.8148
2004-10-11 07:00:00,113.0,0.5,805.0,-200.0,1.6,555.0,1255.0,72.0,1019.0,496.0,6.7,79.8,0.7872
2004-10-11 08:00:00,267.0,1.4,958.0,-200.0,5.8,803.0,910.0,128.0,1172.0,738.0,7.1,77.9,0.7914
2004-10-11 09:00:00,332.0,2.0,1021.0,-200.0,9.5,959.0,760.0,149.0,1297.0,910.0,7.9,73.5,0.7883
2004-10-11 10:00:00,354.0,1.6,969.0,-200.0,6.7,843.0,857.0,165.0,1213.0,821.0,6.9,86.0,0.8632
2004-10-11 11:00:00,316.0,1.3,923.0,-200.0,4.4,733.0,962.0,150.0,1124.0,740.0,6.8,87.1,0.8652
2004-10-11 12:00:00,395.0,1.4,973.0,-200.0,6.8,850.0,868.0,165.0,1213.0,852.0,8.0,81.6,0.8755
2004-10-11 13:00:00,391.0,1.9,996.0,-200.0,7.8,893.0,808.0,175.0,1237.0,895.0,9.5,70.0,0.8296
2004-10-11 14:00:00,457.0,2.7,1055.0,-200.0,10.8,1007.0,736.0,145.0,1301.0,1019.0,10.5,62.2,0.7923
2004-10-11 15:00:00,448.0,2.1,1023.0,-200.0,9.8,971.0,752.0,98.0,1283.0,993.0,11.4,59.1,0.7963
2004-10-11 16:00:00,543.0,2.4,1039.0,-200.0,11.3,1024.0,721.0,105.0,1325.0,1043.0,11.1,58.6,0.7737
2004-10-11 17:00:00,574.0,2.7,1051.0,-200.0,12.3,1061.0,696.0,106.0,1333.0,1111.0,10.8,57.6,0.7473
2004-10-11 18:00:00,435.0,2.5,1050.0,-200.0,12.6,1070.0,699.0,141.0,1334.0,1087.0,10.6,56.9,0.7281
2004-10-11 19:00:00,504.0,3.7,1156.0,-200.0,17.0,1209.0,614.0,177.0,1467.0,1250.0,10.6,59.3,0.7588
2004-10-11 20:00:00,586.0,4.6,1277.0,-200.0,21.4,1335.0,551.0,182.0,1636.0,1331.0,10.0,71.5,0.8768
2004-10-11 21:00:00,580.0,3.9,1172.0,-200.0,15.3,1159.0,621.0,193.0,1461.0,1243.0,10.3,71.1,0.8878
2004-10-11 22:00:00,346.0,2.2,1048.0,-200.0,9.9,973.0,731.0,148.0,1298.0,1074.0,10.5,70.3,0.893
